"date_sold","region","suburb","property_type","price","weekly_household","estimated_annual_household","affordability_ratio","km_from_cbd","num_bed","num_bath","num_parking","property_size"
"29/10/21","Inner South","Mascot","House","1975000","2254","117208","16.85","9.35","4","2","1","436"
"29/10/21","CBD & Inner City","Surry Hills","House","1790000","2308","120016","14.91","2.14","3","2","0","53"
"29/10/21","Inner West","Leichhardt","House","1303000","2673","138996","9.37","5.31","2","1","0","181"
"29/10/21","CBD & Inner City","Sydney","Apartment / Unit / Flat","1300000","2227","115804","11.23","0.31","2","2","2","137"
"30/10/21","North Shore","Chatswood","House","3550000","2158","112216","31.64","8.15","4","2","1","512"
"30/10/21","South / St George","Hurstville","House","3100000","1804","93808","33.05","14.81","7","5","2","529"
"30/10/21","Inner West","Annandale","House","2650000","2683","139516","18.99","4.06","3","2","2","221"
"30/10/21","Inner West","Marrickville","House","2205000","2170","112840","19.54","7.23","4","1","2","354"
"30/10/21","South / St George","Kogarah","House","1940000","1903","98956","19.6","13.34","3","1","2","469"
"30/10/21","South / St George","Hurstville","House","1760000","1804","93808","18.76","14.81","3","2","2","594"
"30/10/21","South / St George","Kogarah","House","1755000","1903","98956","17.74","13.34","3","1","0","411"
"2/11/21","Inner West","Leichhardt","House","1280000","2673","138996","9.21","5.31","2","1","0","135"
"5/11/21","North Shore","North Sydney","Apartment / Unit / Flat","4187700","2405","125060","33.49","3.16","3","3","2","168"
"6/11/21","Inner South","Alexandria","House","2200000","2654","138008","15.94","5.06","4","2","0","127"
"6/11/21","North Shore","Epping","House","2070000","2243","116636","17.75","15.95","3","1","1","663"
"9/11/21","North Shore","Chatswood","House","3500000","2158","112216","31.19","8.15","4","3","2","696"
"9/11/21","South / St George","Hurstville","House","3215000","1804","93808","34.27","14.81","6","5","2","603"
"9/11/21","CBD & Inner City","Surry Hills","House","3015000","2308","120016","25.12","2.14","2","1","1","162"
"9/11/21","South / St George","Kogarah","House","1475000","1903","98956","14.91","13.34","3","2","2","462"
"10/11/21","Inner West","Annandale","House","2600000","2683","139516","18.64","4.06","3","1","1","240"
"11/11/21","CBD & Inner City","Sydney","Apartment / Unit / Flat","1270000","2227","115804","10.97","0.31","2","2","1","116"
"11/11/21","South / St George","Wolli Creek","Apartment / Unit / Flat","1036000","2163","112476","9.21","9.02","3","2","2","149"
"12/11/21","North Shore","Epping","House","3000000","2243","116636","25.72","15.95","5","2","1","721"
"12/11/21","Inner West","Annandale","House","2760000","2683","139516","19.78","4.06","4","2","1","247"
"12/11/21","North Shore","Eastwood","House","2701000","1945","101140","26.71","14.34","4","1","1","632"
"12/11/21","Inner West","Burwood","House","2700000","1671","86892","31.07","9.9","6","3","2","538"
"12/11/21","North Shore","Eastwood","House","2250000","1945","101140","22.25","14.34","3","1","1","575"
"12/11/21","South / St George","Hurstville","House","2215000","1804","93808","23.61","14.81","4","2","2","506"
"12/11/21","Inner West","Annandale","House","2120000","2683","139516","15.2","4.06","3","2","0","152"
"12/11/21","Inner West","Burwood","House","1960000","1671","86892","22.56","9.9","3","2","2","334"
"12/11/21","Inner West","Marrickville","House","1675000","2170","112840","14.84","7.23","3","1","0","234"
"12/11/21","North Shore","Carlingford","House","1433000","2084","108368","13.22","18.2","3","1","1","664"
"12/11/21","South / St George","Kogarah","House","1402000","1903","98956","14.17","13.34","3","1","0","324"
"12/11/21","South / St George","Kogarah","House","1320000","1903","98956","13.34","13.34","3","1","3","283"
"12/11/21","Inner South","Redfern","Apartment / Unit / Flat","1280000","2145","111540","11.48","3.12","3","2","1","152"
"13/11/21","North Shore","Chatswood","House","2700000","2158","112216","24.06","8.15","6","3","1","594"
"13/11/21","Inner West","Annandale","House","2535000","2683","139516","18.17","4.06","2","1","0","183"
"13/11/21","North Shore","Ryde","House","2501000","2024","105248","23.76","10.92","4","4","2","662"
"13/11/21","North Shore","Carlingford","House","1935000","2084","108368","17.86","18.2","4","3","2","708"
"13/11/21","South / St George","Rockdale","House","1915000","1906","99112","19.32","11.79","3","2","1","446"
"13/11/21","Inner South","Mascot","House","1850000","2254","117208","15.78","9.35","3","1","1","505"
"13/11/21","South / St George","Rockdale","House","1600000","1906","99112","16.14","11.79","2","1","1","423"
"13/11/21","Inner South","Alexandria","Apartment / Unit / Flat","1150000","2654","138008","8.33","5.06","2","2","1","121"
"15/11/21","South / St George","Hurstville","House","3550000","1804","93808","37.84","14.81","7","5","4","727"
"15/11/21","Inner West","Burwood","House","2930000","1671","86892","33.72","9.9","4","1","0","727"
"15/11/21","South / St George","Hurstville","House","1700000","1804","93808","18.12","14.81","3","1","1","613"
"15/11/21","CBD & Inner City","Surry Hills","Apartment / Unit / Flat","1300000","2308","120016","10.83","2.14","2","2","2","111"
"16/11/21","Inner West","Annandale","House","3025000","2683","139516","21.68","4.06","4","2","1","152"
"16/11/21","North Shore","Ryde","House","2600000","2024","105248","24.7","10.92","5","3","4","645"
"16/11/21","Inner West","Leichhardt","House","1550000","2673","138996","11.15","5.31","2","1","0","171"
"16/11/21","North Shore","St Leonards","Apartment / Unit / Flat","1140000","2475","128700","8.86","5","2","2","1","117"
